file;manager;license;author;source;modified
alfredo-di-stefano.jpg;Alfredo Di Stéfano;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:Di_stefano_argentina_(cropped).jpg;cropped to the head and resized to 320px
andoni-iraola.jpg;Andoni Iraola;CC BY 3.0;AFC Bournemouth;https://commons.wikimedia.org/wiki/File:Andoni_Iraola_2023.jpg;cropped to the head and resized to 320px
andre-villas-boas.jpg;André Villas-Boas;CC BY 2.0;Web Summit;https://commons.wikimedia.org/wiki/File:2023_-_Stage_3_ENZ_2128_(53331827395)_(cropped).jpg;cropped to the head and resized to 320px
andrea-pirlo.jpg;Andrea Pirlo;CC BY-SA 3.0;Clément Bucco-Lechat;https://commons.wikimedia.org/wiki/File:20150616_-_Portugal_-_Italie_-_Gen%C3%A8ve_-_Andrea_Pirlo_(cropped).jpg;cropped to the head and resized to 320px
antonio-conte.jpg;Antonio Conte;Public domain;Unknown author Unknown author;https://commons.wikimedia.org/wiki/File:A._Conte_1900.jpg;cropped to the head and resized to 320px
arne-slot.jpg;Arne Slot;CC BY 2.0;Carlo Bruil Fotografie;https://commons.wikimedia.org/wiki/File:Arne_Slot_in_2024.jpg;cropped to the head and resized to 320px
arrigo-sacchi.jpg;Arrigo Sacchi;CC BY-SA 2.0;Elena Torre;https://commons.wikimedia.org/wiki/File:Arrigo_Sacchi_2007_(cropped).jpg;cropped to the head and resized to 320px
arsene-wenger.jpg;Arsène Wenger;CC BY-SA 4.0;Barcex;https://commons.wikimedia.org/wiki/File:25th_Laureus_World_Sports_Awards_-_Red_Carpet_-_Ars%C3%A8ne_Wenger_-_240422_192850_(cropped).jpg;cropped to the head and resized to 320px
bora-milutinovic.jpg;Bora Milutinović;CC BY 2.0;Doha Stadium Plus Qatar;https://commons.wikimedia.org/wiki/File:Bora_Milutinovic_2012_5_(cropped).jpg;cropped to the head and resized to 320px
brendan-rodgers.jpg;Brendan Rodgers;Public domain;U.S. Air Force photo by R.J. Oriez;https://commons.wikimedia.org/wiki/File:Brendan_Rodgers_(220902-F-JW079-1139)_(cropped).jpg;cropped to the head and resized to 320px
brian-clough.jpg;Brian Clough;CC0;Hans van Dijk for Anefo;https://commons.wikimedia.org/wiki/File:Aankomst_Nottingham_Forrest_op_Schiphol,_Ajax_1_tegenstanders_voor_de_Europa_Cup,_Bestanddeelnr_930-7831.jpg;cropped to the head and resized to 320px
burak-y-lmaz.jpg;Burak Yılmaz;CC BY 2.0;Beşiktaş JK;https://commons.wikimedia.org/wiki/File:Burak_Y%C4%B1lmaz_20231008_3_(cropped).jpg;cropped to the head and resized to 320px
